# 检索命中率标尺（M2 · 任务 1 验收数据）
#
# 用法：python scripts/eval_retrieval.py --out docs/16-检索升级对比.md
#
# 格式（TSV，# 开头是注释行）：
#   问题 <TAB> 期望命中的小节标题 <TAB> 期望命中的章
#
# 说明
# ----
# * 问题按**学生真实会怎么问**写（口语、指代，不照抄小节标题），
#   否则"命中"含金量低 —— 问题里原样出现标题等于白送分。
# * 期望小节取语料里真实存在的 `##` 标题（ch01–ch05 有二级小节）。
# * 期望章是宽松口径：只要命中的片段来自正确那一章就算命中。
# * ch06–ch09 在语料里只有章标题、没有小节，那些题只按章判定（脚本自动处理）。
# * 改语料或改题集后重跑脚本即可得到新数字；**答案是人写的，可复核**。
样本空间的定义	样本空间与事件	ch01 随机事件与概率
概率的三条公理是什么	概率的公理化定义与性质	ch01 随机事件与概率
古典概型怎么算概率	古典概型与几何概型	ch01 随机事件与概率
几何概型的概率怎么求	古典概型与几何概型	ch01 随机事件与概率
已知 B 发生的情况下 A 的概率怎么表示	条件概率	ch01 随机事件与概率
乘法公式是什么	条件概率	ch01 随机事件与概率
由因求果用哪个公式	全概率公式与贝叶斯公式	ch01 随机事件与概率
先验似然后验是怎么换算的	全概率公式与贝叶斯公式	ch01 随机事件与概率
两个事件相互独立的条件	事件的独立性	ch01 随机事件与概率
独立和互斥是一回事吗	事件的独立性	ch01 随机事件与概率
分布函数是怎么定义的	随机变量与分布函数	ch02 随机变量与分布
离散型随机变量的分布律	离散型随机变量	ch02 随机变量与分布
二项分布的期望和方差	离散型随机变量	ch02 随机变量与分布
泊松分布什么时候用	离散型随机变量	ch02 随机变量与分布
密度函数和分布函数的关系	连续型随机变量	ch02 随机变量与分布
均匀分布的密度是什么	连续型随机变量	ch02 随机变量与分布
正态分布的密度函数长什么样	连续型随机变量	ch02 随机变量与分布
已知 X 的密度怎么求 Y=g(X) 的密度	随机变量函数的分布	ch02 随机变量与分布
联合分布和边缘分布有什么关系	联合分布与边缘分布	ch03 多维随机变量
二维随机变量的边缘密度怎么求	联合分布与边缘分布	ch03 多维随机变量
给定 Y 的条件下 X 的条件密度	条件分布与独立性	ch03 多维随机变量
两个随机变量独立怎么判断	条件分布与独立性	ch03 多维随机变量
协方差的定义是什么	协方差与相关系数	ch03 多维随机变量
相关系数等于零说明什么	协方差与相关系数	ch03 多维随机变量
数学期望的定义	数学期望	ch04 数字特征
期望的线性性质	数学期望	ch04 数字特征
方差的计算公式	方差	ch04 数字特征
方差有哪些运算性质	方差	ch04 数字特征
矩母函数是什么	矩与矩母函数	ch04 数字特征
k 阶中心矩怎么定义	矩与矩母函数	ch04 数字特征
大数定律讲的是什么	大数定律	ch05 大数定律与中心极限定理
切比雪夫不等式有什么用	大数定律	ch05 大数定律与中心极限定理
样本均值为什么近似服从正态分布	中心极限定理	ch05 大数定律与中心极限定理
棣莫弗-拉普拉斯定理	中心极限定理	ch05 大数定律与中心极限定理
样本方差怎么算	统计量及其分布	ch06 统计量及其分布
t 分布是怎么来的	统计量及其分布	ch06 统计量及其分布
极大似然估计的步骤	参数估计	ch07 参数估计
什么是无偏估计	参数估计	ch07 参数估计
第一类错误和第二类错误的区别	假设检验	ch08 假设检验
单因素方差分析的 F 统计量	方差分析与回归	ch09 方差分析与回归
